Operations, Insertion Time (ms), Search Time (ms), Deletion Time (ms)
1000,1,0,0
2000,2,0,0
3000,4,0,1
4000,5,1,1
5000,8,1,1
6000,9,1,2
7000,11,2,2
8000,11,2,3
9000,12,3,3
10000,16,3,4
11000,17,5,6
12000,20,4,5
13000,20,5,5
14000,21,5,7
15000,22,8,7
16000,27,7,9
17000,28,8,8
18000,27,8,9
19000,29,9,10
20000,32,10,11
21000,32,10,12
22000,36,10,12
23000,35,11,12
24000,38,11,14
25000,40,13,15
26000,44,18,17
27000,43,14,15
28000,51,19,20
29000,51,19,18
30000,50,17,19
31000,55,20,24
32000,55,22,23
33000,54,21,21
34000,57,18,19
35000,53,18,20
36000,56,18,25
37000,58,20,22
38000,59,19,23
39000,60,21,24
40000,63,21,24
41000,66,22,24
42000,64,20,24
43000,66,22,26
44000,70,23,26
45000,71,24,27
46000,74,26,29
47000,74,25,30
48000,77,25,31
49000,79,25,32
50000,79,26,31
51000,82,27,33
52000,87,29,38
53000,90,29,36
54000,88,30,37
55000,92,31,36
56000,168,29,37
57000,90,29,39
58000,97,30,39
59000,98,32,43
60000,111,37,48
61000,113,40,46
62000,110,36,42
63000,107,35,45
64000,110,35,47
65000,109,36,48
66000,114,39,48
67000,115,36,51
68000,117,39,48
69000,118,37,54
70000,121,36,49
71000,118,42,52
72000,124,42,53
73000,123,43,54
74000,128,41,54
75000,130,43,57
76000,133,45,58
77000,133,44,60
78000,136,44,59
79000,147,50,68
80000,160,53,70
81000,144,44,69
82000,146,48,64
83000,148,47,67
84000,156,52,65
85000,153,49,70
86000,158,54,74
87000,152,53,73
88000,179,46,71
89000,173,46,69
90000,155,50,73
91000,161,52,74
92000,160,52,75
93000,164,53,73
94000,166,52,77
95000,170,54,82
96000,168,53,78
97000,192,63,89
98000,183,57,79
99000,173,54,80
100000,179,57,83
